"","x"
"1",9.14806043496355
"2",9.37075413297862
"3",2.86139534786344
"4",8.30447626067325
"5",6.41745518893003
"6",5.19095949130133
"7",7.36588314641267
"8",1.3466659723781
"9",6.56992290401831
"10",7.05064784036949
"11",4.5774177624844
"12",7.19112251652405
"13",9.34672247152776
"14",2.55428824340925
"15",4.62292822543532
"16",9.40014522755519
"17",9.78226428385824
"18",1.17487361654639
"19",4.74997081561014
"20",5.60332746244967
"21",9.04031387297437
"22",1.38710167724639
"23",9.88891728920862
"24",9.46668232558295
"25",0.824375580996275
"26",5.14211784349754
"27",3.90203467104584
"28",9.05738130910322
"29",4.46969628101215
"30",8.36004259996116
"31",7.37595617771149
"32",8.11055141268298
"33",3.88108282815665
"34",6.85169729404151
"35",0.0394833879545331
"36",8.32916080253199
"37",0.0733414688147604
"38",2.07658972823992
"39",9.06601407798007
"40",6.11778643447906
"41",3.79559240536764
"42",4.35771584976465
"43",0.374310328625143
"44",9.73539913771674
"45",4.31751248892397
"46",9.57576596643776
"47",8.87754905503243
"48",6.39978769468144
"49",9.70966610359028
"50",6.18838207330555
"51",3.33427211269736
"52",3.46748248208314
"53",3.9848541142419
"54",7.84692775690928
"55",0.38936491124332
"56",7.48795386170968
"57",6.7727683018893
"58",1.71264330390841
"59",2.61087963823229
"60",5.14412934659049
"61",6.7560727451928
"62",9.82817197917029
"63",7.59544267551973
"64",5.66488424083218
"65",8.49689718568698
"66",1.8947393540293
"67",2.71286614704877
"68",8.28158485237509
"69",6.93204820388928
"70",2.40544739644974
"71",0.429887960199267
"72",1.40479094116017
"73",2.1638541505672
"74",4.79398564202711
"75",1.97410342283547
"76",7.19355837674811
"77",0.0788473873399198
"78",3.75489964615554
"79",5.14407708309591
"80",0.0157055421732366
"81",5.81604002509266
"82",1.57905208179727
"83",3.59028305858374
"84",6.45631878403947
"85",7.75823362637311
"86",5.63646841561422
"87",2.33703398611397
"88",0.899805163498968
"89",0.856120649259537
"90",3.05218369467184
"91",6.67426514672115
"92",0.00238896580412984
"93",2.08569956943393
"94",9.33034127345309
"95",9.25644748611376
"96",7.34094301005825
"97",3.33071983419359
"98",5.15063329832628
"99",7.43974646320567
"100",6.19159240042791
